campaign_id,ad_channel,campaign_type,marketing_spend,conversion_rate,impressions
122,Email,Brand Awareness,16555.43,0.19,12826
123,Email,Flash Sale,2319.05,0.04,30303
124,Meta,Seasonal,7895.94,0.1,10357
125,Meta,Brand Awareness,9557.05,0.12,30486
126,Google,Seasonal,15970.14,0.18,49213
127,Google,Seasonal,11522.24,0.14,5853
128,TikTok,Seasonal,12931.05,0.15,47649
129,TikTok,Flash Sale,19536.59,0.22,37152
130,TikTok,Brand Awareness,2295.27,0.04,5860
131,Google,Brand Awareness,5104.73,0.07,11028
132,TikTok,Seasonal,3306.31,0.05,41961
133,Google,Seasonal,17112.3,0.19,43038
134,Meta,Brand Awareness,15445.51,0.17,27613
135,Meta,Flash Sale,13275.71,0.15,48078
136,TikTok,Flash Sale,6992.73,0.09,17247
137,Meta,Flash Sale,5312.33,0.07,34733
138,TikTok,Seasonal,19173.53,0.21,4312
139,TikTok,Seasonal,2305.54,0.04,27252
140,Google,Flash Sale,6563.62,0.09,25457
141,TikTok,Flash Sale,9209.46,0.11,35034
142,Email,Brand Awareness,5200.2,0.07,37891
143,Email,Flash Sale,14020.66,0.16,43964
144,Google,Seasonal,13089.54,0.15,2241
145,Meta,Brand Awareness,14928.35,0.17,14588
146,TikTok,Brand Awareness,16997.44,0.19,32731
147,Email,Flash Sale,1061.15,0.03,37732
148,Google,Flash Sale,12388.01,0.14,47801
149,Google,Brand Awareness,9363.78,0.11,49555
150,TikTok,Brand Awareness,14032.31,0.16,31959
151,Google,Seasonal,6188.35,0.08,43749
152,Google,Flash Sale,14860.66,0.17,38221
153,TikTok,Seasonal,6238.68,0.08,8382
154,Email,Flash Sale,11115.99,0.13,34769
155,Meta,Flash Sale,12864.08,0.15,18497
156,Email,Brand Awareness,11663.23,0.14,33933
157,TikTok,Flash Sale,18968.26,0.21,47002
158,Google,Seasonal,5913.8,0.08,36890
159,Email,Seasonal,15263.86,0.17,30716
160,Meta,Brand Awareness,4547.74,0.07,5786
161,Meta,Brand Awareness,16071.97,0.18,48794
162,Meta,Brand Awareness,19387.36,0.21,26759
163,Meta,Flash Sale,9122.3,0.11,23685
164,Google,Brand Awareness,19773.25,0.22,3200
165,TikTok,Seasonal,5557.61,0.08,48940
166,Meta,Brand Awareness,3020.53,0.05,45482
167,Meta,Flash Sale,7847.18,0.1,25671
168,Meta,Flash Sale,9746.81,0.12,16915
169,Google,Seasonal,19482.75,0.21,13331
170,Email,Seasonal,2834.15,0.05,46588
171,TikTok,Flash Sale,17667.97,0.2,34607
172,Meta,Seasonal,10979.56,0.13,18090
173,Email,Brand Awareness,17957.94,0.2,43054
174,Google,Brand Awareness,15128.28,0.17,3216
175,Email,Flash Sale,9986.46,0.12,4961
176,TikTok,Brand Awareness,5151.69,0.07,19788
177,TikTok,Flash Sale,19863.52,0.22,27011
178,Email,Flash Sale,14633.87,0.17,25718
179,Google,Brand Awareness,2349.15,0.04,3788
180,Meta,Brand Awareness,15078.64,0.17,10449
181,Email,Brand Awareness,5104.98,0.07,10171
182,Google,Brand Awareness,17293.68,0.19,18912
183,TikTok,Seasonal,13269.07,0.15,47734
184,Google,Seasonal,7927.28,0.1,21202
185,Google,Seasonal,1588.16,0.04,6873
186,Meta,Brand Awareness,11362.24,0.13,25951
187,TikTok,Flash Sale,16839.35,0.19,6041
188,Email,Flash Sale,3859.91,0.06,41644
189,TikTok,Seasonal,14506.81,0.17,27099
190,Meta,Brand Awareness,19422.55,0.21,37051
191,TikTok,Brand Awareness,18455.96,0.2,11101
192,Email,Brand Awareness,5567.27,0.08,3409
193,Email,Seasonal,3554.27,0.06,1691
194,Google,Flash Sale,16848.75,0.19,28261
195,Email,Brand Awareness,6326.35,0.08,46663
196,Meta,Brand Awareness,16095.8,0.18,16985
197,Email,Flash Sale,1418.51,0.03,2913
198,Google,Brand Awareness,11538.49,0.14,13252
199,Email,Brand Awareness,10437.21,0.12,8486
200,Google,Seasonal,18868.52,0.21,21013
201,Meta,Flash Sale,8169.04,0.1,42648
202,Google,Flash Sale,3462.41,0.05,9947
203,Google,Seasonal,9696.29,0.12,20142
204,Google,Flash Sale,16128.57,0.18,36593
205,TikTok,Flash Sale,2621.49,0.05,6700
206,Meta,Seasonal,12307.5,0.14,38360
207,Email,Seasonal,11931.75,0.14,19174
208,TikTok,Brand Awareness,13282.72,0.15,28146
209,Google,Brand Awareness,18810.19,0.21,7104
210,TikTok,Flash Sale,14786.92,0.17,36868
211,Email,Flash Sale,7558.65,0.1,1044
212,Meta,Seasonal,15460.68,0.17,26974
213,Meta,Brand Awareness,10145.33,0.12,45563
214,Google,Seasonal,4345.81,0.06,21535
215,TikTok,Brand Awareness,15688.69,0.18,14962
216,Email,Flash Sale,16353.51,0.18,10163
217,TikTok,Seasonal,19142.09,0.21,34931
218,Google,Brand Awareness,5567.58,0.08,1790
219,Google,Seasonal,9196.23,0.11,18182
220,Meta,Flash Sale,11345.61,0.13,6478
221,Meta,Seasonal,16880.69,0.19,17022
222,Meta,Brand Awareness,12218.19,0.14,1743
223,TikTok,Flash Sale,5261.58,0.07,18824
224,Meta,Flash Sale,15330.72,0.17,7743
225,Meta,Seasonal,6041.2,0.08,37232
226,Google,Seasonal,16266.84,0.18,15626
227,TikTok,Seasonal,15529.66,0.18,20109
228,Google,Seasonal,17022.28,0.19,36490
229,Email,Seasonal,14573.8,0.17,10330
230,Google,Brand Awareness,16823.78,0.19,9749
231,TikTok,Flash Sale,8686.02,0.11,30671
232,TikTok,Flash Sale,15920.11,0.18,8912
233,Google,Seasonal,15019.81,0.17,22482
234,Email,Flash Sale,18584.92,0.21,37434
235,Email,Flash Sale,14425.97,0.16,45976
236,Google,Seasonal,12878.89,0.15,31211
237,Meta,Flash Sale,13776.75,0.16,19340
238,Email,Seasonal,5354.27,0.07,28474
239,Email,Flash Sale,6145.32,0.08,12784
240,Google,Seasonal,15948.62,0.18,44048
241,TikTok,Brand Awareness,8000.53,0.1,2848
242,Meta,Brand Awareness,12378.06,0.14,15339
243,Meta,Brand Awareness,4030.35,0.06,47182
244,Meta,Seasonal,16742.56,0.19,48995
245,TikTok,Brand Awareness,2475.17,0.04,46121
246,Meta,Brand Awareness,8311.27,0.1,38063
247,TikTok,Flash Sale,17751.59,0.2,1746
248,Email,Seasonal,8879.98,0.11,28133
249,Google,Flash Sale,3192.5,0.05,2315
250,Email,Brand Awareness,17288.87,0.19,3031
251,TikTok,Flash Sale,10216.8,0.12,16567
252,Email,Seasonal,1797.72,0.04,7356
253,TikTok,Seasonal,11622.13,0.14,43065
254,TikTok,Seasonal,10195.8,0.12,18600
255,Google,Flash Sale,3666.17,0.06,35247
256,Meta,Seasonal,15407.08,0.17,30428
257,TikTok,Flash Sale,4570.49,0.07,48651
258,Email,Seasonal,9799.18,0.12,28160
259,Email,Brand Awareness,3861.55,0.06,40908
260,Meta,Seasonal,5731.17,0.08,49873
261,Meta,Flash Sale,6776.58,0.09,49740
262,Email,Brand Awareness,12771.0,0.15,25504
263,Meta,Seasonal,12340.19,0.14,4776
264,Google,Brand Awareness,16823.81,0.19,3002
265,Google,Flash Sale,13082.87,0.15,2798
266,Google,Brand Awareness,14028.31,0.16,1583
267,Email,Flash Sale,1987.8,0.04,15300
268,Google,Flash Sale,4810.51,0.07,19119
269,Email,Brand Awareness,17198.4,0.19,21944
270,Meta,Flash Sale,19387.47,0.21,48615
271,Meta,Brand Awareness,19532.09,0.22,17951
272,TikTok,Brand Awareness,10604.67,0.13,20270
273,Google,Brand Awareness,14775.12,0.17,26013
274,TikTok,Brand Awareness,13465.05,0.15,12819
275,Meta,Seasonal,19077.45,0.21,38767
276,Email,Seasonal,5155.49,0.07,3472
277,TikTok,Flash Sale,17057.3,0.19,9449
278,TikTok,Flash Sale,3888.92,0.06,46008
279,Google,Brand Awareness,9859.69,0.12,34071
280,Google,Brand Awareness,10701.03,0.13,2293
281,Google,Flash Sale,9531.74,0.12,28582
282,Email,Seasonal,5004.85,0.07,40911
283,Email,Flash Sale,19268.35,0.21,16368
284,Google,Flash Sale,9656.76,0.12,43227
285,TikTok,Flash Sale,16856.86,0.19,49400
286,Google,Flash Sale,18190.56,0.2,23460
287,Meta,Brand Awareness,8645.72,0.11,48606
288,Google,Brand Awareness,10363.57,0.12,48662
289,Meta,Brand Awareness,17587.37,0.2,23170
290,Email,Flash Sale,5299.23,0.07,11839
291,Meta,Seasonal,16556.06,0.19,31087
292,Google,Brand Awareness,2452.36,0.04,36985
293,TikTok,Brand Awareness,16359.71,0.18,41616
294,TikTok,Brand Awareness,13429.04,0.15,7967
295,Google,Flash Sale,5398.12,0.07,15128
296,Email,Seasonal,8509.93,0.11,35757
297,TikTok,Brand Awareness,5984.52,0.08,26209
298,TikTok,Brand Awareness,1153.12,0.03,49288
299,Meta,Brand Awareness,7179.01,0.09,36552
300,Email,Seasonal,13530.61,0.16,35257
301,TikTok,Seasonal,8944.75,0.11,5065
302,TikTok,Brand Awareness,6787.44,0.09,44548
303,Email,Seasonal,15850.69,0.18,42535
304,Google,Flash Sale,2770.73,0.05,3663
305,Meta,Flash Sale,2586.97,0.05,40117
306,Meta,Flash Sale,11400.88,0.13,36591
307,Email,Brand Awareness,5936.73,0.08,43552
308,Google,Flash Sale,11167.89,0.13,17815
309,Google,Seasonal,17455.93,0.19,11970
310,Email,Brand Awareness,12460.65,0.14,5726
311,Google,Brand Awareness,6468.79,0.08,15918
312,Google,Brand Awareness,14154.73,0.16,48204
313,Email,Flash Sale,4485.6,0.06,26894
314,Meta,Flash Sale,16304.99,0.18,45386
315,TikTok,Seasonal,8725.22,0.11,49590
316,Google,Seasonal,5139.94,0.07,44973
317,TikTok,Seasonal,18560.83,0.21,44994
318,TikTok,Brand Awareness,11265.69,0.13,39284
319,TikTok,Seasonal,10120.9,0.12,45536
320,Meta,Brand Awareness,6989.55,0.09,13873
321,TikTok,Brand Awareness,15826.61,0.18,36368
322,Email,Flash Sale,3004.19,0.05,33910
323,Google,Seasonal,3924.47,0.06,32958
324,Google,Seasonal,2080.75,0.04,43501
325,Google,Brand Awareness,19417.11,0.21,17487
326,Meta,Seasonal,1003.54,0.03,6052
327,TikTok,Brand Awareness,10979.91,0.13,8427
328,Meta,Seasonal,7564.14,0.1,42257
329,TikTok,Seasonal,2531.69,0.05,15194
330,Meta,Brand Awareness,19767.24,0.22,45930
331,Email,Seasonal,1419.26,0.03,40682
332,Google,Brand Awareness,4740.87,0.07,43548
333,Google,Flash Sale,19200.97,0.21,9774
334,Google,Brand Awareness,12881.27,0.15,35245
335,TikTok,Flash Sale,10608.24,0.13,36134
336,Email,Flash Sale,1866.12,0.04,21096
337,Email,Flash Sale,14001.97,0.16,37082
338,Google,Flash Sale,1787.13,0.04,15533
339,Google,Seasonal,10026.71,0.12,44049
340,Google,Flash Sale,12633.24,0.15,16679
341,Google,Brand Awareness,3659.76,0.06,47112
342,Google,Flash Sale,19839.12,0.22,12471
343,Email,Seasonal,6985.2,0.09,23260
344,Meta,Flash Sale,10275.38,0.12,28028
345,TikTok,Flash Sale,12111.73,0.14,15323
346,Meta,Seasonal,12173.78,0.14,41540
347,TikTok,Brand Awareness,6821.89,0.09,21671
348,Email,Brand Awareness,13338.2,0.15,3134
349,Meta,Flash Sale,1359.96,0.03,39076
350,Meta,Flash Sale,18322.79,0.2,28783
351,TikTok,Seasonal,14141.46,0.16,37394
352,TikTok,Flash Sale,8567.33,0.11,20663
353,TikTok,Flash Sale,8156.85,0.1,24656
354,TikTok,Flash Sale,14116.13,0.16,22305
355,Email,Seasonal,19095.35,0.21,6184
356,Email,Flash Sale,13128.66,0.15,39464
357,Google,Seasonal,12481.95,0.14,11938
358,TikTok,Brand Awareness,17841.23,0.2,11176
359,Google,Seasonal,19914.01,0.22,44486
360,Email,Brand Awareness,2393.92,0.04,42671
361,TikTok,Seasonal,1875.2,0.04,20894
362,Email,Flash Sale,18385.03,0.2,40125
363,Meta,Flash Sale,2387.07,0.04,6191
364,Meta,Flash Sale,9439.48,0.11,8232
365,Google,Seasonal,6309.46,0.08,7702
366,TikTok,Flash Sale,19845.89,0.22,21419
367,Google,Brand Awareness,10366.18,0.12,31811
368,Email,Brand Awareness,1394.4,0.03,7157
369,TikTok,Flash Sale,15619.41,0.18,42846
370,TikTok,Brand Awareness,4691.2,0.07,8841
371,Meta,Flash Sale,19157.34,0.21,6990
372,TikTok,Brand Awareness,13032.0,0.15,43247
373,Email,Brand Awareness,16671.33,0.19,20314
374,Meta,Flash Sale,9911.77,0.12,20377
375,Meta,Flash Sale,5575.27,0.08,48251
376,Google,Brand Awareness,12049.72,0.14,44181
377,Email,Brand Awareness,15436.65,0.17,33106
378,Email,Brand Awareness,10291.92,0.12,4978
379,Google,Seasonal,12426.3,0.14,48524
380,Google,Brand Awareness,15238.02,0.17,38785
381,Email,Flash Sale,6693.7,0.09,21653
382,Email,Brand Awareness,15025.2,0.17,49796
383,Google,Flash Sale,3268.24,0.05,15541
384,TikTok,Seasonal,16725.83,0.19,10070
385,Google,Brand Awareness,9272.53,0.11,22279
386,Google,Flash Sale,14441.1,0.16,23801
387,Google,Flash Sale,6313.09,0.08,36384
388,Email,Seasonal,8368.85,0.1,9663
389,Meta,Seasonal,2622.66,0.05,32517
390,Email,Flash Sale,8181.89,0.1,45874
391,Meta,Flash Sale,8471.97,0.1,41384
392,Google,Seasonal,6407.41,0.08,41698
393,Meta,Seasonal,11399.17,0.13,36810
394,TikTok,Seasonal,13979.17,0.16,46647
395,Google,Flash Sale,7008.09,0.09,43559
396,Email,Brand Awareness,19708.44,0.22,47692
397,TikTok,Flash Sale,1710.54,0.04,41975
398,Email,Brand Awareness,7311.28,0.09,9995
399,Meta,Seasonal,18451.91,0.2,43760
400,Google,Brand Awareness,15105.03,0.17,35928
401,TikTok,Seasonal,1316.55,0.03,13316
402,Google,Flash Sale,10536.96,0.13,6208
403,Meta,Seasonal,17396.23,0.19,15829
404,Email,Brand Awareness,4337.77,0.06,22292
405,Google,Brand Awareness,4404.11,0.06,8164
406,Google,Seasonal,4587.09,0.07,20082
407,Email,Brand Awareness,8394.96,0.1,30602
408,Meta,Flash Sale,19090.73,0.21,6910
409,Email,Brand Awareness,2652.37,0.05,34532
410,Google,Flash Sale,9548.93,0.12,21189
411,Email,Brand Awareness,12461.66,0.14,1376
412,Google,Seasonal,1615.39,0.04,36870
413,Google,Seasonal,10710.78,0.13,8136
414,Google,Flash Sale,3364.02,0.05,22156
415,Email,Brand Awareness,14992.99,0.17,14752
416,TikTok,Flash Sale,8697.05,0.11,35432
417,TikTok,Seasonal,17032.44,0.19,1103
418,Meta,Seasonal,8811.74,0.11,42983
419,TikTok,Flash Sale,6088.06,0.08,26955
420,Meta,Brand Awareness,9439.5,0.11,31187
421,Meta,Brand Awareness,8539.0,0.11,45924
422,Google,Flash Sale,13397.04,0.15,47220
423,TikTok,Seasonal,9334.33,0.11,8355
424,TikTok,Flash Sale,16105.22,0.18,10390
425,Google,Flash Sale,2430.3,0.04,31597
426,TikTok,Flash Sale,17305.93,0.19,44982
427,TikTok,Flash Sale,1411.27,0.03,10277
428,Email,Brand Awareness,9727.53,0.12,4306
429,TikTok,Seasonal,13574.4,0.16,47720
430,Meta,Seasonal,10385.6,0.12,10418
431,Email,Seasonal,18311.29,0.2,24032
432,Google,Flash Sale,8535.22,0.11,35914
433,Meta,Brand Awareness,16929.59,0.19,39729
434,Google,Flash Sale,16444.17,0.18,12545
435,Meta,Seasonal,19201.45,0.21,39061
436,TikTok,Flash Sale,5424.7,0.07,38373
437,TikTok,Brand Awareness,2053.46,0.04,4481
438,Email,Flash Sale,6730.15,0.09,26006
439,Meta,Seasonal,16960.36,0.19,1760
440,Email,Brand Awareness,10699.88,0.13,12783
441,Meta,Brand Awareness,5248.64,0.07,33881
442,Google,Seasonal,17638.02,0.2,48853
443,TikTok,Brand Awareness,5465.59,0.07,4458
444,TikTok,Seasonal,19781.32,0.22,3315
445,Google,Flash Sale,12963.99,0.15,32769
446,Google,Brand Awareness,2200.48,0.04,12443
447,Google,Seasonal,9209.28,0.11,40029
448,TikTok,Seasonal,7560.03,0.1,4442
449,TikTok,Seasonal,12145.43,0.14,35763
450,TikTok,Flash Sale,2316.85,0.04,41008
451,Meta,Brand Awareness,10123.49,0.12,23112
452,Email,Flash Sale,9800.79,0.12,15379
453,Google,Brand Awareness,4126.76,0.06,8862
454,Email,Flash Sale,19484.04,0.21,28982
455,TikTok,Seasonal,13070.03,0.15,29873
456,Google,Flash Sale,16011.58,0.18,47884
457,Google,Seasonal,1705.15,0.04,44555
458,Google,Brand Awareness,1322.41,0.03,15801
459,Google,Flash Sale,10480.39,0.12,36037
460,Email,Seasonal,15488.15,0.17,42328
461,Meta,Flash Sale,16485.29,0.18,26478
462,Google,Seasonal,15499.85,0.17,43850
463,Meta,Seasonal,4641.76,0.07,12288
464,Meta,Seasonal,10346.63,0.12,14280
465,Meta,Flash Sale,9499.66,0.11,5143
466,Google,Seasonal,2455.83,0.04,7551
467,Email,Brand Awareness,17613.56,0.2,9316
468,Email,Brand Awareness,1658.36,0.04,6768
469,TikTok,Brand Awareness,17440.6,0.19,34262
470,Google,Seasonal,9861.12,0.12,43261
471,Meta,Seasonal,1956.14,0.04,2904
472,TikTok,Seasonal,9551.22,0.12,8217
473,Email,Seasonal,4756.12,0.07,29564
474,Meta,Flash Sale,4781.21,0.07,9336
475,Meta,Brand Awareness,13354.85,0.15,41077
476,Email,Brand Awareness,1290.9,0.03,17164
477,Google,Flash Sale,11992.71,0.14,35807
478,Meta,Flash Sale,10505.52,0.13,20384
479,Email,Seasonal,12772.07,0.15,47080
480,Google,Flash Sale,18639.08,0.21,28911
481,TikTok,Flash Sale,2186.44,0.04,41575
482,Google,Brand Awareness,13769.0,0.16,32358
483,TikTok,Flash Sale,10992.98,0.13,30649
484,Google,Flash Sale,2457.74,0.04,12718
485,Google,Flash Sale,2793.55,0.05,28298
486,TikTok,Flash Sale,12328.91,0.14,38925
487,Email,Flash Sale,2233.09,0.04,19883
488,Meta,Seasonal,13871.8,0.16,47406
489,Meta,Seasonal,12941.57,0.15,37863
490,Google,Flash Sale,11426.82,0.13,33729
491,TikTok,Brand Awareness,3386.7,0.05,44705
492,Meta,Flash Sale,15570.13,0.18,24422
493,Email,Brand Awareness,1399.7,0.03,45011
494,Meta,Brand Awareness,4633.6,0.07,29025
495,Email,Brand Awareness,2340.45,0.04,28237
496,Email,Brand Awareness,8710.43,0.11,22981
497,Meta,Seasonal,19354.41,0.21,13190
498,Google,Seasonal,6307.56,0.08,11094
499,Google,Flash Sale,12918.97,0.15,33312
500,Google,Flash Sale,2432.83,0.04,11672
501,Email,Brand Awareness,13767.55,0.16,24329
502,TikTok,Flash Sale,5562.88,0.08,45921
503,TikTok,Seasonal,4219.03,0.06,7712
504,Google,Seasonal,5747.86,0.08,2138
505,Google,Seasonal,12331.48,0.14,9435
506,Google,Flash Sale,14841.38,0.17,29262
507,Google,Flash Sale,14164.69,0.16,44750
508,TikTok,Brand Awareness,5307.95,0.07,23795
509,Meta,Brand Awareness,7091.78,0.09,1283
510,TikTok,Flash Sale,7308.01,0.09,28793
511,TikTok,Brand Awareness,17615.03,0.2,48325
512,Email,Flash Sale,5137.84,0.07,29046
513,Google,Seasonal,5316.95,0.07,10395
514,Meta,Flash Sale,2697.46,0.05,48526
515,Email,Seasonal,17297.52,0.19,9007
516,Google,Seasonal,15010.09,0.17,26076
517,Email,Flash Sale,16900.41,0.19,34082
518,Google,Seasonal,13086.01,0.15,12591
519,Email,Brand Awareness,14855.56,0.17,37292
520,TikTok,Flash Sale,2875.02,0.05,22003
521,TikTok,Flash Sale,1989.38,0.04,27996
522,Google,Flash Sale,5447.95,0.07,12126
523,Email,Brand Awareness,3015.74,0.05,2457
524,TikTok,Seasonal,18282.15,0.2,41293
525,TikTok,Brand Awareness,10558.38,0.13,27347
526,Google,Brand Awareness,17234.65,0.19,20781
527,Google,Brand Awareness,18028.49,0.2,47093
528,Meta,Flash Sale,8166.4,0.1,31309
529,Meta,Flash Sale,17454.44,0.19,46013
530,Email,Flash Sale,10028.25,0.12,43396
531,Email,Seasonal,3793.28,0.06,4625
532,Google,Brand Awareness,19120.37,0.21,49134
533,Meta,Flash Sale,17147.01,0.19,15287
534,Google,Flash Sale,9943.41,0.12,36765
535,Google,Brand Awareness,16595.96,0.19,44399
536,Meta,Flash Sale,10581.01,0.13,26458
537,Email,Seasonal,1761.31,0.04,18959
538,TikTok,Brand Awareness,15895.47,0.18,5349
539,Meta,Seasonal,6750.9,0.09,27257
540,Email,Flash Sale,12418.19,0.14,49180
541,Meta,Seasonal,13110.69,0.15,2505
542,TikTok,Seasonal,3414.95,0.05,6836
543,Meta,Seasonal,6942.08,0.09,18445
544,Meta,Flash Sale,18241.8,0.2,10564
545,Meta,Flash Sale,11528.4,0.14,46417
546,TikTok,Seasonal,14679.23,0.17,31863
547,Google,Brand Awareness,14887.63,0.17,12755
548,TikTok,Seasonal,17849.8,0.2,9380
549,Email,Seasonal,6981.3,0.09,37416
550,Email,Flash Sale,18716.44,0.21,8603
551,TikTok,Seasonal,18148.14,0.2,14351
552,Meta,Flash Sale,18006.62,0.2,6035
553,Meta,Seasonal,3713.66,0.06,6312
554,Meta,Seasonal,7126.55,0.09,4190
555,Meta,Seasonal,16523.01,0.19,27143
556,Email,Brand Awareness,12514.26,0.15,21322
557,Email,Seasonal,19275.43,0.21,28691
558,Meta,Flash Sale,1771.13,0.04,35555
559,Email,Flash Sale,19479.91,0.21,38259
560,TikTok,Brand Awareness,11896.34,0.14,6358
561,Email,Brand Awareness,10672.55,0.13,30487
562,Google,Seasonal,4200.37,0.06,26882
563,Email,Flash Sale,10371.7,0.12,6743
564,Meta,Flash Sale,13993.66,0.16,42029
