external_id,date,inflation_rate,competitor_price,weather_condition
124,2023-05-04,6.14,152.52,Rainy
125,2023-05-05,3.46,416.07,Sunny
126,2023-05-06,3.58,241.68,Sunny
127,2023-05-07,4.35,320.65,Sunny
128,2023-05-08,4.42,137.17,Rainy
129,2023-05-09,5.02,263.25,Snowy
130,2023-05-10,5.04,286.13,Rainy
131,2023-05-11,6.17,590.86,Snowy
132,2023-05-12,3.4,163.65,Rainy
133,2023-05-13,4.5,309.55,Cloudy
134,2023-05-14,2.39,63.87,Sunny
135,2023-05-15,6.71,539.57,Rainy
136,2023-05-16,6.95,317.45,Snowy
137,2023-05-17,6.3,80.37,Cloudy
138,2023-05-18,4.13,270.79,Snowy
139,2023-05-19,5.18,63.49,Snowy
140,2023-05-20,4.03,559.73,Rainy
141,2023-05-21,7.28,184.72,Snowy
142,2023-05-22,3.62,342.15,Snowy
143,2023-05-23,3.79,356.41,Cloudy
144,2023-05-24,4.41,488.04,Rainy
145,2023-05-25,6.5,464.86,Cloudy
146,2023-05-26,5.56,259.25,Snowy
147,2023-05-27,3.35,433.65,Sunny
148,2023-05-28,6.71,436.3,Snowy
149,2023-05-29,3.04,397.03,Sunny
150,2023-05-30,4.01,54.67,Rainy
151,2023-05-31,2.48,447.65,Rainy
152,2023-06-01,2.08,198.34,Snowy
153,2023-06-02,2.2,75.09,Snowy
154,2023-06-03,7.29,260.33,Sunny
155,2023-06-04,2.91,166.18,Snowy
156,2023-06-05,2.49,296.65,Snowy
157,2023-06-06,4.76,69.1,Rainy
158,2023-06-07,2.97,183.08,Rainy
159,2023-06-08,4.38,92.31,Sunny
160,2023-06-09,7.49,338.5,Sunny
161,2023-06-10,6.4,499.41,Cloudy
162,2023-06-11,6.01,395.42,Sunny
163,2023-06-12,3.78,554.2,Sunny
164,2023-06-13,3.04,438.73,Sunny
165,2023-06-14,7.06,182.23,Rainy
166,2023-06-15,2.46,230.61,Snowy
167,2023-06-16,6.02,353.85,Rainy
168,2023-06-17,2.16,581.1,Sunny
169,2023-06-18,7.24,103.05,Rainy
170,2023-06-19,6.38,375.33,Rainy
171,2023-06-20,3.51,163.33,Cloudy
172,2023-06-21,3.9,283.37,Rainy
173,2023-06-22,4.93,405.25,Rainy
174,2023-06-23,7.44,173.76,Sunny
175,2023-06-24,7.06,199.55,Sunny
176,2023-06-25,5.04,529.56,Sunny
177,2023-06-26,7.72,443.98,Cloudy
178,2023-06-27,4.21,107.77,Sunny
179,2023-06-28,2.69,126.42,Snowy
180,2023-06-29,2.51,263.65,Snowy
181,2023-06-30,6.73,289.99,Sunny
182,2023-07-01,4.36,334.46,Rainy
183,2023-07-02,4.46,214.28,Rainy
184,2023-07-03,5.03,579.85,Sunny
185,2023-07-04,4.25,305.44,Cloudy
186,2023-07-05,2.92,350.08,Snowy
187,2023-07-06,5.27,132.54,Cloudy
188,2023-07-07,4.77,449.26,Snowy
189,2023-07-08,2.35,421.22,Rainy
190,2023-07-09,5.13,355.12,Cloudy
191,2023-07-10,2.36,41.77,Sunny
192,2023-07-11,4.86,425.12,Sunny
193,2023-07-12,6.97,204.99,Rainy
194,2023-07-13,6.2,98.47,Snowy
195,2023-07-14,5.14,207.76,Snowy
196,2023-07-15,4.41,203.81,Snowy
197,2023-07-16,6.32,525.48,Cloudy
198,2023-07-17,5.12,120.01,Cloudy
199,2023-07-18,7.37,366.63,Rainy
200,2023-07-19,6.73,539.45,Rainy
201,2023-07-20,3.53,530.29,Cloudy
202,2023-07-21,4.16,575.81,Cloudy
203,2023-07-22,4.23,527.07,Snowy
204,2023-07-23,2.31,422.03,Cloudy
205,2023-07-24,4.48,316.0,Rainy
206,2023-07-25,3.6,163.09,Snowy
207,2023-07-26,4.09,248.17,Rainy
208,2023-07-27,3.24,125.3,Sunny
209,2023-07-28,5.87,354.32,Sunny
210,2023-07-29,5.82,257.37,Snowy
211,2023-07-30,3.38,64.96,Snowy
212,2023-07-31,3.08,296.81,Cloudy
213,2023-08-01,5.14,162.71,Snowy
214,2023-08-02,7.72,581.55,Cloudy
215,2023-08-03,4.26,349.11,Cloudy
216,2023-08-04,2.0,544.77,Rainy
217,2023-08-05,3.51,355.88,Snowy
218,2023-08-06,7.74,122.98,Cloudy
219,2023-08-07,4.41,467.34,Cloudy
220,2023-08-08,7.64,323.88,Rainy
221,2023-08-09,7.59,259.42,Cloudy
222,2023-08-10,3.38,40.83,Snowy
223,2023-08-11,4.23,545.09,Sunny
224,2023-08-12,6.68,366.91,Sunny
225,2023-08-13,4.69,129.05,Snowy
226,2023-08-14,3.28,412.48,Sunny
227,2023-08-15,6.69,109.65,Cloudy
228,2023-08-16,3.85,310.07,Sunny
229,2023-08-17,6.78,180.26,Sunny
230,2023-08-18,4.12,387.92,Sunny
231,2023-08-19,6.71,450.75,Rainy
232,2023-08-20,3.08,583.58,Cloudy
233,2023-08-21,6.14,120.61,Snowy
234,2023-08-22,2.09,580.41,Cloudy
235,2023-08-23,3.28,565.87,Sunny
236,2023-08-24,7.75,263.46,Cloudy
237,2023-08-25,6.9,327.13,Rainy
238,2023-08-26,6.43,47.7,Cloudy
239,2023-08-27,7.31,254.64,Sunny
240,2023-08-28,7.52,367.29,Rainy
241,2023-08-29,6.7,274.86,Rainy
242,2023-08-30,6.59,269.42,Snowy
243,2023-08-31,5.09,339.91,Sunny
244,2023-09-01,3.63,169.8,Rainy
245,2023-09-02,3.78,297.15,Sunny
246,2023-09-03,5.25,233.33,Snowy
247,2023-09-04,4.01,459.66,Sunny
248,2023-09-05,4.47,527.5,Cloudy
249,2023-09-06,6.64,572.81,Sunny
250,2023-09-07,5.21,508.23,Rainy
251,2023-09-08,5.89,48.68,Cloudy
252,2023-09-09,4.25,490.14,Snowy
253,2023-09-10,6.25,44.68,Snowy
254,2023-09-11,6.69,460.98,Sunny
255,2023-09-12,4.6,473.61,Cloudy
256,2023-09-13,3.29,277.92,Rainy
257,2023-09-14,6.49,166.02,Cloudy
258,2023-09-15,7.9,480.56,Sunny
259,2023-09-16,7.41,597.85,Snowy
260,2023-09-17,6.05,43.2,Sunny
261,2023-09-18,5.74,466.89,Cloudy
262,2023-09-19,4.65,436.14,Sunny
263,2023-09-20,4.77,566.36,Sunny
264,2023-09-21,6.18,403.24,Cloudy
265,2023-09-22,2.15,136.0,Rainy
266,2023-09-23,7.53,366.59,Sunny
267,2023-09-24,4.25,488.04,Sunny
268,2023-09-25,4.01,77.53,Snowy
269,2023-09-26,3.0,122.47,Cloudy
270,2023-09-27,6.96,244.73,Snowy
271,2023-09-28,5.38,490.13,Sunny
272,2023-09-29,6.93,71.91,Sunny
273,2023-09-30,7.64,48.86,Sunny
274,2023-10-01,4.72,466.97,Snowy
275,2023-10-02,2.85,359.69,Sunny
276,2023-10-03,6.79,245.74,Sunny
277,2023-10-04,7.22,483.85,Rainy
278,2023-10-05,3.25,173.36,Snowy
279,2023-10-06,3.02,57.06,Sunny
280,2023-10-07,4.63,509.94,Cloudy
281,2023-10-08,3.2,71.09,Rainy
282,2023-10-09,6.65,171.28,Snowy
283,2023-10-10,5.04,236.23,Sunny
284,2023-10-11,2.47,287.97,Snowy
285,2023-10-12,7.48,146.06,Sunny
286,2023-10-13,2.04,158.97,Cloudy
287,2023-10-14,2.72,451.56,Cloudy
288,2023-10-15,3.31,48.5,Sunny
289,2023-10-16,2.45,242.46,Rainy
290,2023-10-17,3.04,358.07,Rainy
291,2023-10-18,2.83,425.71,Cloudy
292,2023-10-19,4.89,510.91,Rainy
293,2023-10-20,5.61,564.78,Cloudy
294,2023-10-21,6.64,64.66,Rainy
295,2023-10-22,4.48,418.46,Sunny
296,2023-10-23,6.26,93.61,Cloudy
297,2023-10-24,4.39,288.59,Cloudy
298,2023-10-25,4.9,327.89,Rainy
299,2023-10-26,3.6,594.59,Snowy
300,2023-10-27,5.28,273.63,Rainy
301,2023-10-28,2.46,171.6,Sunny
302,2023-10-29,2.06,520.45,Cloudy
303,2023-10-30,6.51,113.9,Rainy
304,2023-10-31,2.57,292.03,Rainy
305,2023-11-01,3.3,156.81,Snowy
306,2023-11-02,4.35,430.41,Snowy
307,2023-11-03,5.27,99.13,Cloudy
308,2023-11-04,7.86,484.54,Snowy
309,2023-11-05,4.58,196.21,Rainy
310,2023-11-06,6.75,377.38,Cloudy
311,2023-11-07,4.57,194.52,Cloudy
312,2023-11-08,2.73,432.77,Sunny
313,2023-11-09,6.04,445.58,Rainy
314,2023-11-10,2.54,376.51,Rainy
315,2023-11-11,7.68,205.66,Cloudy
316,2023-11-12,7.02,111.33,Sunny
317,2023-11-13,6.27,239.69,Snowy
318,2023-11-14,6.0,593.75,Cloudy
319,2023-11-15,3.83,265.51,Cloudy
320,2023-11-16,6.82,278.53,Sunny
321,2023-11-17,5.51,343.17,Cloudy
322,2023-11-18,3.63,263.53,Rainy
323,2023-11-19,4.15,550.35,Snowy
324,2023-11-20,7.61,180.49,Snowy
325,2023-11-21,7.65,528.69,Snowy
326,2023-11-22,2.81,150.68,Rainy
327,2023-11-23,5.31,373.33,Rainy
328,2023-11-24,2.86,124.81,Sunny
329,2023-11-25,3.84,149.31,Rainy
330,2023-11-26,6.03,309.52,Rainy
331,2023-11-27,4.76,461.19,Sunny
332,2023-11-28,5.79,479.27,Sunny
333,2023-11-29,3.7,508.85,Sunny
334,2023-11-30,4.9,254.36,Rainy
335,2023-12-01,2.26,143.76,Cloudy
336,2023-12-02,5.11,177.67,Rainy
337,2023-12-03,5.92,364.59,Cloudy
338,2023-12-04,3.07,486.61,Cloudy
339,2023-12-05,6.38,314.33,Sunny
340,2023-12-06,6.82,525.2,Sunny
341,2023-12-07,2.95,571.59,Snowy
342,2023-12-08,4.1,176.53,Snowy
343,2023-12-09,5.4,485.9,Sunny
344,2023-12-10,4.98,199.95,Rainy
345,2023-12-11,5.85,194.3,Rainy
346,2023-12-12,3.08,190.53,Sunny
347,2023-12-13,3.7,264.18,Rainy
348,2023-12-14,5.98,492.32,Rainy
349,2023-12-15,2.15,157.3,Snowy
350,2023-12-16,7.61,209.9,Snowy
351,2023-12-17,2.88,155.69,Rainy
352,2023-12-18,7.38,513.83,Sunny
353,2023-12-19,7.15,520.05,Sunny
354,2023-12-20,3.87,489.34,Sunny
355,2023-12-21,5.59,85.9,Snowy
356,2023-12-22,5.29,145.95,Rainy
357,2023-12-23,7.28,446.21,Sunny
358,2023-12-24,7.18,114.08,Rainy
359,2023-12-25,5.05,117.49,Cloudy
360,2023-12-26,7.12,417.19,Snowy
361,2023-12-27,3.23,274.47,Snowy
362,2023-12-28,3.39,435.12,Rainy
363,2023-12-29,2.23,259.41,Snowy
364,2023-12-30,2.23,492.52,Snowy
365,2023-12-31,2.73,50.23,Cloudy
366,2024-01-01,4.5,251.05,Cloudy
367,2024-01-02,7.49,442.04,Cloudy
368,2024-01-03,3.01,518.21,Cloudy
369,2024-01-04,6.53,289.45,Sunny
370,2024-01-05,4.26,271.57,Sunny
371,2024-01-06,4.87,307.77,Sunny
372,2024-01-07,5.37,415.99,Rainy
373,2024-01-08,6.18,243.0,Rainy
374,2024-01-09,6.14,217.02,Cloudy
375,2024-01-10,6.87,231.99,Cloudy
376,2024-01-11,3.0,553.23,Rainy
377,2024-01-12,4.54,231.59,Snowy
378,2024-01-13,6.78,506.44,Sunny
379,2024-01-14,6.49,239.91,Rainy
380,2024-01-15,5.19,261.64,Sunny
381,2024-01-16,4.15,226.85,Cloudy
382,2024-01-17,4.05,403.14,Cloudy
383,2024-01-18,2.51,239.41,Snowy
384,2024-01-19,3.93,353.46,Rainy
385,2024-01-20,6.87,310.07,Cloudy
386,2024-01-21,4.92,53.87,Sunny
387,2024-01-22,6.83,116.63,Rainy
388,2024-01-23,2.07,349.58,Sunny
389,2024-01-24,7.07,103.97,Cloudy
390,2024-01-25,5.29,568.52,Cloudy
391,2024-01-26,7.96,526.39,Cloudy
392,2024-01-27,2.57,274.72,Snowy
393,2024-01-28,7.78,251.11,Rainy
394,2024-01-29,5.22,147.5,Cloudy
395,2024-01-30,2.24,222.66,Sunny
396,2024-01-31,3.91,44.92,Snowy
397,2024-02-01,6.06,243.51,Sunny
398,2024-02-02,4.39,175.66,Cloudy
399,2024-02-03,6.54,260.5,Snowy
400,2024-02-04,7.72,524.72,Snowy
401,2024-02-05,2.23,246.22,Sunny
402,2024-02-06,4.32,581.36,Cloudy
403,2024-02-07,5.02,510.09,Snowy
404,2024-02-08,7.64,232.09,Cloudy
405,2024-02-09,6.6,84.36,Rainy
406,2024-02-10,7.36,282.39,Snowy
407,2024-02-11,7.34,187.12,Rainy
408,2024-02-12,4.64,325.86,Sunny
409,2024-02-13,7.76,341.02,Cloudy
410,2024-02-14,3.01,587.38,Rainy
411,2024-02-15,2.08,541.61,Rainy
412,2024-02-16,5.03,186.08,Rainy
413,2024-02-17,2.79,186.99,Snowy
414,2024-02-18,3.93,334.61,Cloudy
415,2024-02-19,6.68,332.6,Sunny
416,2024-02-20,6.44,158.14,Cloudy
417,2024-02-21,2.75,202.25,Sunny
418,2024-02-22,4.67,209.84,Sunny
419,2024-02-23,6.67,166.47,Rainy
420,2024-02-24,2.63,358.63,Cloudy
421,2024-02-25,4.7,206.01,Rainy
422,2024-02-26,5.73,209.01,Snowy
423,2024-02-27,3.76,345.44,Sunny
424,2024-02-28,5.9,526.08,Rainy
425,2024-02-29,4.72,323.92,Sunny
426,2024-03-01,2.45,164.89,Rainy
427,2024-03-02,2.24,242.88,Rainy
428,2024-03-03,7.59,229.41,Sunny
429,2024-03-04,2.84,440.81,Rainy
430,2024-03-05,3.46,348.32,Cloudy
431,2024-03-06,7.22,146.09,Snowy
432,2024-03-07,7.97,581.27,Rainy
433,2024-03-08,7.78,391.87,Rainy
434,2024-03-09,7.11,200.24,Sunny
435,2024-03-10,5.0,550.6,Rainy
436,2024-03-11,2.99,41.3,Snowy
437,2024-03-12,7.81,293.61,Snowy
438,2024-03-13,2.64,277.15,Cloudy
439,2024-03-14,2.11,97.55,Cloudy
440,2024-03-15,3.36,113.81,Cloudy
441,2024-03-16,7.72,174.03,Sunny
442,2024-03-17,4.25,390.98,Sunny
443,2024-03-18,3.42,87.02,Cloudy
444,2024-03-19,4.27,89.5,Sunny
445,2024-03-20,6.72,176.48,Snowy
446,2024-03-21,5.21,597.89,Snowy
447,2024-03-22,2.17,400.48,Cloudy
448,2024-03-23,6.57,120.57,Cloudy
449,2024-03-24,4.3,139.62,Snowy
450,2024-03-25,3.23,391.01,Snowy
451,2024-03-26,2.49,161.93,Sunny
452,2024-03-27,5.74,290.25,Rainy
453,2024-03-28,7.77,580.11,Rainy
454,2024-03-29,5.2,597.76,Rainy
455,2024-03-30,6.08,502.25,Cloudy
456,2024-03-31,2.69,512.74,Sunny
457,2024-04-01,2.9,341.05,Snowy
458,2024-04-02,6.94,47.44,Sunny
459,2024-04-03,3.28,380.36,Cloudy
460,2024-04-04,6.41,525.21,Sunny
461,2024-04-05,6.18,94.12,Cloudy
462,2024-04-06,4.72,517.78,Rainy
463,2024-04-07,7.08,505.89,Sunny
464,2024-04-08,6.64,99.51,Snowy
465,2024-04-09,3.11,318.61,Cloudy
466,2024-04-10,6.45,69.28,Sunny
467,2024-04-11,2.74,366.63,Cloudy
468,2024-04-12,3.21,101.64,Cloudy
469,2024-04-13,4.46,562.59,Snowy
470,2024-04-14,5.75,569.86,Cloudy
471,2024-04-15,2.1,448.76,Rainy
472,2024-04-16,5.07,335.12,Rainy
473,2024-04-17,2.54,183.82,Rainy
474,2024-04-18,2.44,433.84,Rainy
475,2024-04-19,2.63,190.05,Cloudy
476,2024-04-20,2.73,592.12,Rainy
477,2024-04-21,5.99,160.69,Cloudy
478,2024-04-22,4.02,50.13,Cloudy
479,2024-04-23,2.58,209.72,Cloudy
480,2024-04-24,7.1,343.07,Sunny
481,2024-04-25,6.31,595.87,Rainy
482,2024-04-26,4.29,288.15,Snowy
483,2024-04-27,2.51,423.6,Snowy
484,2024-04-28,7.87,256.37,Rainy
485,2024-04-29,4.51,80.93,Snowy
486,2024-04-30,5.24,296.59,Cloudy
487,2024-05-01,7.5,384.65,Snowy
488,2024-05-02,5.18,55.59,Rainy
489,2024-05-03,7.09,288.44,Snowy
490,2024-05-04,6.49,156.64,Snowy
491,2024-05-05,3.57,284.2,Sunny
492,2024-05-06,2.69,110.64,Rainy
493,2024-05-07,7.98,280.99,Cloudy
494,2024-05-08,3.61,494.42,Sunny
495,2024-05-09,6.5,447.44,Rainy
496,2024-05-10,5.62,207.4,Sunny
497,2024-05-11,2.22,408.7,Cloudy
498,2024-05-12,6.48,157.27,Sunny
499,2024-05-13,5.33,544.91,Cloudy
500,2024-05-14,4.02,330.65,Snowy
501,2024-05-15,4.2,69.64,Sunny
502,2024-05-16,4.05,458.61,Snowy
503,2024-05-17,4.63,230.23,Rainy
504,2024-05-18,3.51,555.62,Snowy
505,2024-05-19,6.58,178.77,Snowy
506,2024-05-20,5.24,498.28,Sunny
507,2024-05-21,5.66,183.29,Rainy
508,2024-05-22,6.11,521.03,Sunny
509,2024-05-23,4.08,458.01,Cloudy
510,2024-05-24,6.98,359.95,Sunny
511,2024-05-25,4.11,344.35,Cloudy
512,2024-05-26,4.29,210.53,Snowy
513,2024-05-27,6.25,501.3,Rainy
514,2024-05-28,5.45,480.49,Cloudy
515,2024-05-29,6.59,482.39,Rainy
516,2024-05-30,3.83,88.42,Snowy
517,2024-05-31,7.29,223.82,Sunny
518,2024-06-01,4.13,309.86,Cloudy
519,2024-06-02,3.53,598.99,Rainy
520,2024-06-03,4.56,226.87,Rainy
521,2024-06-04,6.8,561.99,Rainy
522,2024-06-05,3.94,563.69,Cloudy
523,2024-06-06,2.12,223.12,Snowy
524,2024-06-07,4.36,140.6,Rainy
525,2024-06-08,2.18,45.48,Sunny
526,2024-06-09,7.4,560.8,Snowy
527,2024-06-10,6.59,239.51,Rainy
528,2024-06-11,6.03,337.47,Snowy
529,2024-06-12,2.56,279.18,Rainy
530,2024-06-13,2.03,80.54,Snowy
531,2024-06-14,6.22,575.35,Snowy
532,2024-06-15,2.67,82.35,Cloudy
533,2024-06-16,7.01,511.82,Rainy
534,2024-06-17,7.38,266.51,Snowy
535,2024-06-18,3.5,491.31,Snowy
536,2024-06-19,7.76,483.89,Snowy
537,2024-06-20,3.59,291.23,Cloudy
538,2024-06-21,6.77,115.88,Cloudy
539,2024-06-22,5.12,419.17,Sunny
540,2024-06-23,2.45,322.07,Snowy
541,2024-06-24,2.51,90.92,Cloudy
542,2024-06-25,3.93,599.01,Sunny
543,2024-06-26,6.83,76.86,Rainy
544,2024-06-27,4.87,136.52,Rainy
545,2024-06-28,2.8,473.82,Cloudy
546,2024-06-29,6.92,367.22,Snowy
547,2024-06-30,4.75,186.95,Snowy
548,2024-07-01,4.39,221.83,Cloudy
549,2024-07-02,6.88,343.39,Rainy
550,2024-07-03,4.63,465.77,Snowy
551,2024-07-04,7.68,177.04,Rainy
552,2024-07-05,6.59,199.43,Snowy
553,2024-07-06,2.34,308.86,Snowy
554,2024-07-07,7.9,557.99,Sunny
555,2024-07-08,7.25,208.82,Rainy
556,2024-07-09,7.57,571.9,Sunny
557,2024-07-10,2.77,280.98,Cloudy
558,2024-07-11,6.62,187.85,Cloudy
559,2024-07-12,3.16,160.16,Sunny
560,2024-07-13,7.53,149.23,Cloudy
561,2024-07-14,3.98,63.63,Rainy
562,2024-07-15,5.24,515.78,Cloudy
563,2024-07-16,2.98,243.15,Rainy
564,2024-07-17,7.86,200.31,Snowy
565,2024-07-18,2.9,302.66,Rainy
566,2024-07-19,6.95,311.74,Cloudy
567,2024-07-20,6.41,70.86,Cloudy
568,2024-07-21,3.68,111.35,Cloudy
569,2024-07-22,3.61,378.24,Cloudy
570,2024-07-23,7.41,352.16,Cloudy
571,2024-07-24,2.08,528.07,Snowy
572,2024-07-25,7.3,562.66,Rainy
573,2024-07-26,4.49,223.09,Sunny
574,2024-07-27,6.49,479.0,Snowy
575,2024-07-28,2.72,165.77,Snowy
576,2024-07-29,4.51,459.11,Snowy
577,2024-07-30,3.13,324.42,Rainy
578,2024-07-31,6.92,61.11,Cloudy
579,2024-08-01,6.32,418.56,Cloudy
580,2024-08-02,7.37,105.83,Sunny
581,2024-08-03,6.63,533.29,Snowy
582,2024-08-04,4.63,522.18,Snowy
583,2024-08-05,7.03,534.36,Cloudy
584,2024-08-06,6.13,328.16,Cloudy
585,2024-08-07,5.73,475.61,Rainy
586,2024-08-08,7.85,592.34,Rainy
587,2024-08-09,3.84,509.19,Snowy
588,2024-08-10,6.27,95.99,Cloudy
589,2024-08-11,2.33,120.96,Rainy
590,2024-08-12,2.58,277.76,Cloudy
591,2024-08-13,2.98,417.55,Rainy
592,2024-08-14,6.13,111.79,Cloudy
593,2024-08-15,5.17,481.24,Sunny
594,2024-08-16,6.82,542.49,Snowy
595,2024-08-17,3.58,574.6,Rainy
596,2024-08-18,7.92,216.52,Sunny
597,2024-08-19,5.52,389.65,Cloudy
598,2024-08-20,4.02,353.99,Sunny
599,2024-08-21,3.42,448.8,Rainy
600,2024-08-22,7.02,326.89,Snowy
601,2024-08-23,5.6,474.83,Snowy
602,2024-08-24,4.74,347.79,Cloudy
603,2024-08-25,4.9,542.04,Cloudy
604,2024-08-26,2.78,485.8,Snowy
605,2024-08-27,2.65,284.3,Sunny
606,2024-08-28,3.94,587.36,Rainy
607,2024-08-29,2.85,389.97,Sunny
608,2024-08-30,7.28,599.86,Sunny
609,2024-08-31,7.9,396.75,Cloudy
610,2024-09-01,6.13,163.04,Snowy
611,2024-09-02,5.76,185.35,Cloudy
612,2024-09-03,6.16,62.24,Snowy
613,2024-09-04,4.02,369.93,Rainy
614,2024-09-05,7.25,516.56,Snowy
615,2024-09-06,3.05,577.75,Cloudy
616,2024-09-07,4.38,565.31,Snowy
617,2024-09-08,5.66,367.71,Rainy
618,2024-09-09,7.1,168.63,Snowy
619,2024-09-10,6.58,256.25,Rainy
620,2024-09-11,5.98,268.61,Sunny
621,2024-09-12,3.57,509.78,Sunny
622,2024-09-13,4.42,530.21,Sunny
623,2024-09-14,6.77,141.5,Cloudy
624,2024-09-15,2.12,491.19,Sunny
625,2024-09-16,2.57,43.8,Rainy
626,2024-09-17,2.81,429.31,Snowy
627,2024-09-18,5.98,182.85,Rainy
