transaction_id,date,product_id,store_id,customer_segment,units_sold,total_sales_revenue,total_discount_given,net_sales,gross_profit,return_rate
106,2023-04-16,106,15,Premium,89,43275.36,5118.88,38156.48,13167.95,0.02
107,2023-04-17,107,18,Enterprise,41,8267.65,374.97,7892.679999999999,1702.91,0.06
108,2023-04-18,108,13,Enterprise,80,20069.6,296.75,19772.85,4534.45,0.07
109,2023-04-19,109,10,Budget,31,2785.35,366.3,2419.0499999999997,940.04,0.02
110,2023-04-20,110,20,Budget,22,8076.42,907.11,7169.31,2641.93,0.07
111,2023-04-21,111,10,Budget,73,4225.24,592.94,3632.2999999999997,1210.16,0.05
112,2023-04-22,112,17,Premium,92,31834.76,4179.95,27654.809999999998,2192.89,0.02
113,2023-04-23,113,6,Premium,35,16329.25,2032.94,14296.31,3985.31,0.04
114,2023-04-24,114,12,Budget,60,13491.0,564.16,12926.84,4365.44,0.05
115,2023-04-25,115,16,Premium,36,10209.24,783.43,9425.81,2853.65,0.06
116,2023-04-26,116,8,Premium,64,29025.28,4057.29,24967.989999999998,9834.55,0.05
117,2023-04-27,117,10,Budget,36,6778.08,447.26,6330.82,1308.82,0.09
118,2023-04-28,118,17,Budget,72,13167.36,1906.76,11260.6,1542.76,0.07
119,2023-04-29,119,4,Premium,22,9209.86,557.27,8652.59,1604.67,0.04
120,2023-04-30,120,15,Budget,109,38383.26,2811.48,35571.78,7058.47,0.03
121,2023-05-01,121,7,Premium,32,10844.48,197.19,10647.289999999999,3249.85,0.05
122,2023-05-02,122,16,Budget,93,5312.16,591.81,4720.35,1521.15,0.09
123,2023-05-03,123,10,Budget,70,10640.0,210.57,10429.43,3976.13,0.03
124,2023-05-04,124,3,Enterprise,58,4265.9,479.02,3786.8799999999997,1169.34,0.03
125,2023-05-05,125,12,Enterprise,34,9898.08,629.06,9269.02,4033.02,0.08
126,2023-05-06,126,17,Budget,60,5509.2,153.6,5355.599999999999,2176.2,0.04
127,2023-05-07,127,15,Budget,91,8139.04,1155.21,6983.83,626.57,0.06
128,2023-05-08,128,12,Premium,53,12122.69,1611.3,10511.390000000001,2487.19,0.02
129,2023-05-09,129,5,Enterprise,32,11607.36,1516.87,10090.490000000002,3081.53,0.03
130,2023-05-10,130,16,Budget,87,10080.69,291.57,9789.12,3637.35,0.04
131,2023-05-11,131,19,Budget,16,1560.8,29.01,1531.79,451.31,0.02
132,2023-05-12,132,12,Budget,83,13083.29,616.93,12466.36,5366.54,0.03
133,2023-05-13,133,20,Budget,72,9229.68,567.5,8662.18,2231.86,0.01
134,2023-05-14,134,1,Premium,87,5101.68,186.5,4915.18,1966.75,0.03
135,2023-05-15,135,14,Enterprise,34,7382.42,409.39,6973.03,2693.11,0.05
136,2023-05-16,136,18,Budget,19,9118.1,1123.75,7994.35,1282.79,0.08
137,2023-05-17,137,14,Budget,36,8058.96,250.02,7808.94,2691.18,0.02
138,2023-05-18,138,13,Enterprise,42,3446.94,221.51,3225.4300000000003,1489.57,0.08
139,2023-05-19,139,4,Premium,32,9514.56,603.9,8910.66,1782.66,0.07
140,2023-05-20,140,17,Budget,27,13117.14,1236.47,11880.67,2179.03,0.02
141,2023-05-21,141,17,Budget,42,6345.36,663.96,5681.4,1800.18,0.04
142,2023-05-22,142,6,Enterprise,26,7665.06,879.54,6785.52,1490.36,0.08
143,2023-05-23,143,4,Enterprise,68,25675.44,2075.07,23600.37,9931.01,0.06
144,2023-05-24,144,20,Budget,29,10440.0,779.01,9660.99,1705.71,0.02
145,2023-05-25,145,7,Enterprise,41,5814.62,496.67,5317.95,1442.22,0.01
146,2023-05-26,146,15,Enterprise,109,38724.43,5139.94,33584.49,5436.33,0.09
147,2023-05-27,147,10,Premium,55,12962.4,833.15,12129.25,2943.15,0.02
148,2023-05-28,148,18,Premium,35,2581.6,123.34,2458.2599999999998,790.51,0.04
149,2023-05-29,149,7,Budget,69,27936.72,1732.05,26204.670000000002,7901.04,0.04
150,2023-05-30,150,8,Premium,69,18855.63,2405.46,16450.170000000002,6013.92,0.04
151,2023-05-31,151,16,Premium,75,4566.75,583.95,3982.8,559.8,0.02
152,2023-06-01,152,2,Budget,88,24060.08,433.54,23626.54,8443.02,0.05
153,2023-06-02,153,18,Premium,72,5045.04,242.53,4802.51,2224.91,0.05
154,2023-06-03,154,1,Budget,53,24268.7,2865.16,21403.54,8255.3,0.02
155,2023-06-04,155,16,Premium,50,21127.0,1883.39,19243.61,3687.61,0.02
156,2023-06-05,156,8,Budget,45,7331.85,191.12,7140.7300000000005,1603.93,0.06
157,2023-06-06,157,8,Premium,85,22789.35,1541.64,21247.71,8719.56,0.08
158,2023-06-07,158,3,Budget,49,19787.67,1707.25,18080.42,6991.23,0.07
159,2023-06-08,159,15,Budget,89,42363.11,2461.84,39901.270000000004,11600.16,0.05
160,2023-06-09,160,10,Budget,27,6708.96,336.79,6372.17,2624.03,0.05
161,2023-06-10,161,3,Budget,22,2663.76,361.22,2302.54,414.5,0.04
162,2023-06-11,162,13,Budget,50,9546.0,1274.76,8271.24,1211.24,0.1
163,2023-06-12,163,15,Budget,42,5236.56,73.89,5162.67,1158.81,0.04
164,2023-06-13,164,14,Budget,99,9884.16,1235.81,8648.35,1454.02,0.04
165,2023-06-14,165,8,Enterprise,72,30361.68,1116.6,29245.08,13147.32,0.08
166,2023-06-15,166,17,Budget,61,3904.0,41.13,3862.87,1045.28,0.02
167,2023-06-16,167,13,Premium,42,18474.54,2438.06,16036.480000000001,5604.52,0.09
168,2023-06-17,168,5,Premium,91,9095.45,255.03,8840.42,3072.84,0.05
169,2023-06-18,169,3,Premium,28,3005.8,37.64,2968.1600000000003,827.0,0.04
170,2023-06-19,170,1,Enterprise,52,19066.32,313.78,18752.54,6126.42,0.03
171,2023-06-20,171,10,Premium,75,5926.5,295.97,5630.53,1107.28,0.07
172,2023-06-21,172,12,Enterprise,28,7553.56,783.21,6770.35,1322.11,0.05
173,2023-06-22,173,8,Premium,55,21903.75,2033.49,19870.26,4963.06,0.04
174,2023-06-23,174,6,Enterprise,29,13854.46,660.22,13194.24,3770.4,0.06
175,2023-06-24,175,8,Enterprise,46,12021.64,918.46,11103.18,3467.64,0.08
176,2023-06-25,176,18,Enterprise,65,16788.2,2357.83,14430.37,3827.57,0.04
177,2023-06-26,177,5,Premium,117,31835.7,4250.58,27585.120000000003,4959.66,0.07
178,2023-06-27,178,8,Budget,62,27174.6,498.2,26676.399999999998,13071.74,0.05
179,2023-06-28,179,3,Enterprise,31,7394.43,742.8,6651.63,1288.01,0.02
180,2023-06-29,180,9,Budget,73,9295.09,1171.76,8123.33,1697.14,0.05
181,2023-06-30,181,8,Premium,48,22058.88,2832.02,19226.86,2850.22,0.04
182,2023-07-01,182,8,Premium,119,48703.13,5664.62,43038.509999999995,6670.92,0.01
183,2023-07-02,183,13,Budget,54,15134.04,478.6,14655.44,6336.2,0.02
184,2023-07-03,184,5,Budget,78,27666.6,4103.65,23562.949999999997,4701.77,0.01
185,2023-07-04,185,6,Premium,74,16493.86,888.18,15605.68,7165.98,0.04
186,2023-07-05,186,14,Enterprise,40,9994.4,503.49,9490.91,1510.91,0.06
187,2023-07-06,187,5,Premium,85,24970.45,2728.32,22242.13,4049.58,0.08
188,2023-07-07,188,7,Budget,27,8433.18,329.09,8104.09,1358.14,0.08
189,2023-07-08,189,20,Premium,39,4547.01,426.86,4120.150000000001,683.86,0.06
190,2023-07-09,190,9,Enterprise,38,9881.9,808.4,9073.5,4030.52,0.05
191,2023-07-10,191,3,Budget,79,19635.45,1415.4,18220.05,4834.29,0.1
192,2023-07-11,192,16,Enterprise,86,29075.74,3886.99,25188.75,8048.09,0.01
193,2023-07-12,193,12,Premium,45,16884.9,827.81,16057.090000000002,4106.44,0.07
194,2023-07-13,194,13,Premium,20,1128.8,22.2,1106.6,292.4,0.09
195,2023-07-14,195,15,Budget,19,4362.4,256.66,4105.74,978.15,0.1
196,2023-07-15,196,4,Enterprise,39,3299.01,253.88,3045.13,900.13,0.09
197,2023-07-16,197,15,Budget,72,8535.6,347.38,8188.22,3238.94,0.03
198,2023-07-17,198,7,Enterprise,45,11442.6,1207.95,10234.65,1693.65,0.06
199,2023-07-18,199,16,Enterprise,92,36699.72,2434.75,34264.97,12926.49,0.06
200,2023-07-19,200,10,Premium,100,26014.0,1411.98,24602.02,8939.02,0.04
201,2023-07-20,201,14,Premium,91,22315.02,355.27,21959.75,4710.7,0.02
202,2023-07-21,202,6,Premium,88,11638.88,1261.14,10377.74,3585.9,0.01
203,2023-07-22,203,14,Budget,43,11832.74,123.1,11709.64,4257.31,0.07
204,2023-07-23,204,19,Budget,76,28782.72,432.64,28350.08,8365.88,0.1
205,2023-07-24,205,14,Premium,23,5995.41,761.22,5234.19,1194.7,0.02
206,2023-07-25,206,12,Budget,43,9972.99,1111.79,8861.2,2286.07,0.05
207,2023-07-26,207,10,Budget,64,6987.52,187.47,6800.05,1509.81,0.06
208,2023-07-27,208,11,Enterprise,28,1417.08,188.61,1228.4699999999998,392.39,0.04
209,2023-07-28,209,9,Premium,50,22737.5,2365.38,20372.12,4159.12,0.07
210,2023-07-29,210,7,Premium,89,35566.18,1056.76,34509.42,14539.6,0.08
211,2023-07-30,211,2,Budget,77,27208.72,2324.54,24884.18,9158.47,0.05
212,2023-07-31,212,3,Premium,87,20622.48,2946.33,17676.15,5497.02,0.06
213,2023-08-01,213,4,Budget,40,12095.6,1237.09,10858.51,1675.71,0.1
214,2023-08-02,214,5,Budget,47,12056.91,144.52,11912.39,2558.45,0.05
215,2023-08-03,215,5,Premium,104,23583.04,3405.94,20177.100000000002,2342.14,0.08
216,2023-08-04,216,4,Premium,96,39565.44,3246.57,36318.87,15989.91,0.09
217,2023-08-05,217,20,Enterprise,16,1907.36,220.49,1686.87,166.71,0.08
218,2023-08-06,218,8,Premium,68,14372.48,1909.09,12463.39,2445.63,0.03
219,2023-08-07,219,12,Budget,20,7116.0,396.27,6719.73,2681.73,0.09
220,2023-08-08,220,17,Budget,35,14714.7,530.6,14184.1,2902.9,0.02
221,2023-08-09,221,13,Enterprise,96,22487.04,1334.93,21152.11,4438.51,0.04
222,2023-08-10,222,2,Enterprise,82,24273.64,2018.39,22255.25,6243.93,0.04
223,2023-08-11,223,5,Budget,58,21936.18,1517.28,20418.9,3087.92,0.03
224,2023-08-12,224,17,Premium,86,35518.86,3292.22,32226.64,3973.06,0.03
225,2023-08-13,225,8,Budget,87,41629.5,1173.61,40455.89,19111.31,0.1
226,2023-08-14,226,11,Budget,50,6554.5,180.36,6374.14,2903.64,0.02
227,2023-08-15,227,10,Budget,84,10147.2,544.68,9602.52,4166.88,0.01
228,2023-08-16,228,16,Premium,15,6133.5,541.33,5592.17,1392.17,0.05
229,2023-08-17,229,10,Premium,33,3409.56,447.13,2962.43,274.25,0.07
230,2023-08-18,230,14,Enterprise,79,26164.01,306.17,25857.84,8288.24,0.04
231,2023-08-19,231,5,Premium,74,14823.68,840.28,13983.4,3313.34,0.1
232,2023-08-20,232,4,Premium,43,4398.47,215.08,4183.39,953.66,0.06
233,2023-08-21,233,9,Enterprise,69,6968.31,141.92,6826.39,2498.71,0.06
234,2023-08-22,234,2,Budget,37,11762.67,607.2,11155.47,4666.78,0.03
235,2023-08-23,235,4,Budget,70,11403.0,512.38,10890.62,2876.32,0.07
236,2023-08-24,236,7,Premium,61,3233.61,340.23,2893.38,527.19,0.05
237,2023-08-25,237,13,Budget,66,28242.06,3219.47,25022.59,9304.03,0.09
238,2023-08-26,238,16,Premium,72,17803.44,1767.46,16035.98,1813.1,0.09
239,2023-08-27,239,16,Premium,65,10515.05,730.46,9784.59,3850.74,0.04
240,2023-08-28,240,16,Budget,28,7618.24,734.02,6884.219999999999,2427.74,0.04
241,2023-08-29,241,12,Enterprise,70,20457.5,2706.96,17750.54,5871.54,0.02
242,2023-08-30,242,10,Budget,102,28054.08,1462.92,26591.160000000003,5956.56,0.02
243,2023-08-31,243,5,Budget,51,17586.33,2180.31,15406.020000000002,5239.68,0.03
244,2023-09-01,244,13,Premium,52,10951.2,1379.15,9572.050000000001,2934.25,0.04
245,2023-09-02,245,20,Premium,55,10635.35,1289.3,9346.050000000001,1145.55,0.01
246,2023-09-03,246,13,Enterprise,31,7284.69,510.99,6773.7,1553.61,0.04
247,2023-09-04,247,8,Enterprise,38,8982.82,238.75,8744.07,2278.75,0.03
248,2023-09-05,248,4,Premium,61,18748.96,1313.41,17435.55,2513.73,0.06
249,2023-09-06,249,19,Budget,71,23723.94,1695.63,22028.309999999998,6376.36,0.07
250,2023-09-07,250,13,Premium,25,9985.5,883.67,9101.83,2277.83,0.08
251,2023-09-08,251,11,Premium,71,29793.02,2427.5,27365.52,4931.65,0.05
252,2023-09-09,252,12,Enterprise,15,2646.0,170.71,2475.29,987.14,0.02
253,2023-09-10,253,4,Enterprise,82,20094.92,1248.99,18845.929999999997,2787.05,0.07
254,2023-09-11,254,6,Premium,44,6509.8,798.29,5711.51,1164.55,0.06
255,2023-09-12,255,12,Enterprise,78,32085.3,3296.69,28788.61,7759.81,0.06
256,2023-09-13,256,13,Enterprise,116,50304.56,3840.7,46463.86,13137.06,0.03
257,2023-09-14,257,14,Enterprise,20,9170.6,670.45,8500.15,2519.75,0.07
258,2023-09-15,258,18,Budget,26,7486.18,761.04,6725.14,1127.08,0.05
259,2023-09-16,259,10,Premium,28,11148.2,172.32,10975.880000000001,2900.68,0.04
260,2023-09-17,260,20,Premium,65,27393.6,2984.73,24408.87,3768.77,0.08
261,2023-09-18,261,10,Budget,38,9865.56,880.65,8984.91,2361.51,0.08
262,2023-09-19,262,3,Enterprise,19,1282.88,125.01,1157.8700000000001,194.19,0.08
263,2023-09-20,263,17,Budget,35,7880.25,761.18,7119.07,2638.02,0.09
264,2023-09-21,264,7,Premium,45,12456.0,1306.07,11149.93,1375.03,0.07
265,2023-09-22,265,19,Premium,16,2782.08,44.31,2737.77,1216.33,0.07
266,2023-09-23,266,8,Enterprise,55,13976.05,1188.4,12787.65,3892.5,0.03
267,2023-09-24,267,20,Premium,28,8869.84,394.53,8475.31,3095.95,0.07
268,2023-09-25,268,12,Premium,59,26435.54,3585.48,22850.06,8639.32,0.02
269,2023-09-26,269,10,Budget,54,26400.6,526.56,25874.039999999997,6202.92,0.02
270,2023-09-27,270,14,Enterprise,64,31224.32,350.3,30874.02,8149.54,0.01
271,2023-09-28,271,6,Premium,49,10248.84,594.13,9654.710000000001,3600.27,0.04
272,2023-09-29,272,8,Premium,44,4915.68,478.59,4437.09,1123.01,0.04
273,2023-09-30,273,19,Enterprise,68,16209.16,1669.35,14539.81,4205.85,0.08
274,2023-10-01,274,7,Budget,95,27097.8,2104.02,24993.78,7617.33,0.04
275,2023-10-02,275,11,Premium,38,4054.6,318.48,3736.12,1469.8,0.07
276,2023-10-03,276,14,Premium,107,14270.59,713.52,13557.07,5229.26,0.04
277,2023-10-04,277,7,Budget,103,9183.48,375.33,8808.15,2682.74,0.01
278,2023-10-05,278,10,Enterprise,15,4984.5,294.94,4689.56,1075.46,0.04
279,2023-10-06,279,13,Budget,79,36245.2,2544.34,33700.86,10488.29,0.08
280,2023-10-07,280,9,Enterprise,27,3834.0,527.12,3306.88,998.38,0.06
281,2023-10-08,281,18,Budget,25,3057.75,361.65,2696.1,1144.35,0.06
282,2023-10-09,282,17,Budget,48,14678.88,2056.22,12622.66,2414.02,0.06
283,2023-10-10,283,10,Budget,94,19297.26,1806.63,17490.629999999997,7667.63,0.06
284,2023-10-11,284,16,Enterprise,74,34100.68,3759.5,30341.18,9815.06,0.04
285,2023-10-12,285,4,Enterprise,87,14569.89,482.03,14087.859999999999,5301.73,0.05
286,2023-10-13,286,6,Enterprise,43,2247.18,259.64,1987.54,823.53,0.02
287,2023-10-14,287,13,Budget,74,25795.66,1238.93,24556.73,8476.53,0.08
288,2023-10-15,288,19,Premium,65,18794.75,2118.99,16675.760000000002,5655.01,0.01
289,2023-10-16,289,2,Budget,44,13712.16,1213.27,12498.89,5207.21,0.02
290,2023-10-17,290,13,Enterprise,86,7867.28,733.85,7133.429999999999,1818.63,0.02
291,2023-10-18,291,2,Premium,102,18702.72,489.98,18212.74,3597.16,0.06
292,2023-10-19,292,4,Premium,96,43582.08,2647.98,40934.1,9400.02,0.05
293,2023-10-20,293,15,Premium,87,13011.72,632.45,12379.269999999999,4386.58,0.05
294,2023-10-21,294,8,Enterprise,40,7612.4,430.07,7182.33,2805.53,0.06
295,2023-10-22,295,14,Budget,59,21358.0,2649.54,18708.46,3875.86,0.04
296,2023-10-23,296,19,Budget,85,29424.45,2585.99,26838.46,11507.01,0.06
297,2023-10-24,297,19,Enterprise,52,10033.92,545.06,9488.86,1556.26,0.08
298,2023-10-25,298,15,Premium,71,32100.52,4117.0,27983.52,5595.8,0.09
299,2023-10-26,299,10,Enterprise,89,16804.09,981.57,15822.52,4531.98,0.08
300,2023-10-27,300,19,Premium,33,2032.8,54.59,1978.21,593.86,0.04
301,2023-10-28,301,2,Enterprise,47,5738.7,612.07,5126.63,1963.06,0.04
302,2023-10-29,302,4,Budget,87,36850.59,1812.5,35038.09,6129.73,0.05
303,2023-10-30,303,18,Budget,80,30321.6,1848.88,28472.719999999998,4699.92,0.06
304,2023-10-31,304,6,Enterprise,26,7304.18,924.2,6379.9800000000005,2301.88,0.09
305,2023-11-01,305,9,Budget,41,8275.85,1091.49,7184.360000000001,884.71,0.06
306,2023-11-02,306,11,Budget,37,6785.06,322.59,6462.47,1215.87,0.01
307,2023-11-03,307,11,Enterprise,34,4659.7,126.26,4533.44,1306.84,0.02
308,2023-11-04,308,20,Premium,35,2463.3,256.13,2207.17,490.42,0.1
309,2023-11-05,309,15,Premium,80,27739.2,2011.14,25728.06,7050.46,0.01
310,2023-11-06,310,7,Enterprise,76,8217.88,373.93,7843.949999999999,3489.91,0.08
311,2023-11-07,311,2,Premium,73,20457.52,1133.47,19324.05,8720.8,0.06
312,2023-11-08,312,14,Enterprise,61,24147.46,1336.19,22811.27,9098.47,0.03
313,2023-11-09,313,4,Premium,80,8084.0,112.35,7971.65,1511.65,0.08
314,2023-11-10,314,5,Enterprise,96,26080.32,444.89,25635.43,7639.27,0.02
315,2023-11-11,315,1,Budget,84,17088.12,1427.98,15660.14,2414.18,0.07
316,2023-11-12,316,5,Budget,92,4646.0,258.39,4387.61,1685.57,0.09
317,2023-11-13,317,3,Premium,85,9079.7,222.28,8857.42,2101.62,0.01
